,id,cuisine
0,18009,irish
1,28583,southern_us
2,41580,italian
3,29752,cajun_creole
4,35687,italian
5,38527,southern_us
6,19666,spanish
7,41217,chinese
8,28753,cajun_creole
9,22659,french
10,21749,italian
11,44967,french
12,42969,indian
13,44883,italian
14,20827,british
15,23196,italian
16,35387,italian
17,33780,mexican
18,19001,cajun_creole
19,16526,southern_us
20,42455,japanese
21,47453,chinese
22,42478,italian
23,11885,indian
24,16585,italian
25,29639,southern_us
26,26245,vietnamese
27,38516,korean
28,47520,italian
29,26212,indian
30,23696,mexican
31,14926,italian
32,13292,japanese
33,27346,japanese
34,1384,chinese
35,15959,mexican
36,42297,russian
37,46235,indian
38,21181,italian
39,9809,filipino
40,22982,filipino
41,23120,chinese
42,26743,french
43,12741,mexican
44,7050,italian
45,22437,italian
46,14760,italian
47,10649,filipino
48,48065,irish
49,39931,korean
50,32935,italian
51,40142,thai
52,19103,indian
53,38267,italian
54,30512,italian
55,3324,chinese
56,26197,italian
57,384,japanese
58,47230,japanese
59,39748,chinese
60,41038,french
61,24878,mexican
62,42624,filipino
63,45706,korean
64,8874,mexican
65,23878,italian
66,47234,indian
67,24075,greek
68,46323,italian
69,22562,italian
70,11358,mexican
71,9201,indian
72,38620,italian
73,47638,indian
74,21238,indian
75,11053,japanese
76,46602,indian
77,13937,mexican
78,21876,southern_us
79,20798,italian
80,24381,chinese
81,48178,italian
82,45832,greek
83,27560,korean
84,23247,french
85,28975,british
86,43230,greek
87,9126,italian
88,13021,cajun_creole
89,28194,cajun_creole
90,25617,italian
91,36125,italian
92,16454,mexican
93,1607,chinese
94,38526,chinese
95,18755,mexican
96,12035,british
97,16047,greek
98,15419,italian
99,16971,indian
100,31459,cajun_creole
101,27888,british
102,13900,italian
103,12376,italian
104,1658,french
105,29431,italian
106,22290,french
107,28464,italian
108,37953,korean
109,20814,chinese
110,35987,japanese
111,2329,italian
112,43237,mexican
113,30647,italian
114,16675,indian
115,37722,chinese
116,32438,chinese
117,20287,filipino
118,43296,indian
119,6237,italian
120,48560,korean
121,20810,mexican
122,34951,french
123,31850,mexican
124,47745,japanese
125,37815,greek
126,9872,italian
127,5592,italian
128,27411,vietnamese
129,39320,greek
130,40247,greek
131,19792,mexican
132,40754,japanese
133,14365,mexican
134,14468,italian
135,47563,mexican
136,19611,italian
137,7163,mexican
138,43069,irish
139,27505,filipino
140,36500,chinese
141,25932,irish
142,817,italian
143,8471,french
144,48250,southern_us
145,9413,chinese
146,12097,cajun_creole
147,8416,italian
148,5892,italian
149,676,mexican
150,47015,korean
151,21891,brazilian
152,14630,italian
153,36195,cajun_creole
154,25981,mexican
155,39964,chinese
156,28298,indian
157,31954,spanish
158,26620,mexican
159,14932,southern_us
160,47426,indian
161,1038,italian
162,8077,british
163,37141,southern_us
164,45447,italian
165,9624,mexican
166,45589,italian
167,7265,indian
168,31844,southern_us
169,13046,italian
170,9867,mexican
171,29184,moroccan
172,34783,italian
173,2823,vietnamese
174,18932,mexican
175,11112,mexican
176,12859,thai
177,9365,italian
178,44516,japanese
179,18193,british
180,46545,italian
181,9900,italian
182,14815,mexican
183,39690,italian
184,22193,british
185,11739,greek
186,27311,mexican
187,36920,indian
188,7861,japanese
189,29248,french
190,43142,mexican
191,7574,korean
192,8610,mexican
193,989,italian
194,46926,italian
195,40816,italian
196,39726,chinese
197,42229,southern_us
198,10474,mexican
199,22140,mexican
200,31985,indian
201,46165,japanese
202,20860,italian
203,42494,italian
204,15968,mexican
205,20484,japanese
206,26661,italian
207,47182,mexican
208,22528,french
209,3861,indian
210,1203,cajun_creole
211,45040,italian
212,33287,indian
213,10097,chinese
214,42005,southern_us
215,12423,italian
216,39613,chinese
217,30276,brazilian
218,18686,mexican
219,3031,british
220,40093,italian
221,182,italian
222,46591,french
223,4092,chinese
224,13722,southern_us
225,44575,southern_us
226,14989,mexican
227,13270,italian
228,25529,italian
229,12140,indian
230,23127,mexican
231,13523,italian
232,41270,italian
233,8362,chinese
234,11735,mexican
235,27935,italian
236,28198,mexican
237,37765,italian
238,33856,british
239,30198,chinese
240,42521,italian
241,21567,italian
242,36995,indian
243,24967,thai
244,45002,mexican
245,48925,italian
246,36914,indian
247,2280,southern_us
248,14729,greek
249,4594,italian
250,2237,mexican
251,45631,moroccan
252,2317,filipino
253,23079,french
254,29333,chinese
255,48066,chinese
256,15737,indian
257,30580,greek
258,1119,british
259,46336,indian
260,5026,italian
261,10749,indian
262,31020,mexican
263,30805,cajun_creole
264,27653,japanese
265,35060,mexican
266,39174,indian
267,49509,italian
268,31784,french
269,31408,french
270,36029,chinese
271,11045,indian
272,6561,british
273,26992,french
274,31179,irish
275,35099,italian
276,11018,chinese
277,17930,mexican
278,21302,italian
279,46352,thai
280,25132,mexican
281,7010,italian
282,25850,british
283,19601,mexican
284,7935,italian
285,34994,filipino
286,25113,italian
287,45523,italian
288,34977,brazilian
289,7124,southern_us
290,27514,british
291,27178,mexican
292,47880,chinese
293,29197,french
294,16347,irish
295,20333,mexican
296,29112,chinese
297,7510,british
298,13897,indian
299,35699,french
300,20520,mexican
301,38920,chinese
302,21775,indian
303,37475,japanese
304,40131,cajun_creole
305,1939,mexican
306,48268,cajun_creole
307,34815,french
308,13797,italian
309,39063,chinese
310,29064,japanese
311,26896,italian
312,29477,french
313,3352,british
314,4966,mexican
315,7316,italian
316,23879,mexican
317,16525,italian
318,32843,chinese
319,39574,jamaican
320,32737,mexican
321,44788,filipino
322,28772,italian
323,34189,mexican
324,33719,indian
325,25846,french
326,1423,british
327,4328,vietnamese
328,579,indian
329,5219,indian
330,2314,cajun_creole
331,31143,italian
332,13409,japanese
333,3281,greek
334,15804,filipino
335,40835,southern_us
336,39262,korean
337,37013,indian
338,14807,italian
339,47956,italian
340,2580,mexican
341,13720,italian
342,23008,japanese
343,5951,indian
344,39312,korean
345,6176,southern_us
346,17617,french
347,57,mexican
348,43422,indian
349,49403,indian
350,44751,irish
351,21865,mexican
352,26584,brazilian
353,39355,korean
354,14038,japanese
355,45396,spanish
356,49715,mexican
357,41515,thai
358,30445,italian
359,4090,italian
360,17207,thai
361,40376,italian
362,19398,italian
363,22347,mexican
364,49671,mexican
365,40854,italian
366,926,chinese
367,47919,mexican
368,20571,italian
369,18866,indian
370,48742,cajun_creole
371,14577,italian
372,29481,french
373,40996,italian
374,34470,italian
375,31147,mexican
376,35932,greek
377,27221,italian
378,48301,italian
379,29925,chinese
380,48640,southern_us
381,22873,italian
382,10565,mexican
383,15509,italian
384,37569,southern_us
385,13306,southern_us
386,40474,greek
387,15182,indian
388,8609,chinese
389,32168,chinese
390,1125,indian
391,25244,italian
392,46889,chinese
393,13841,indian
394,47135,indian
395,29036,indian
